CustomerID,Recency,Frequency,Monetary,AvgBasketSize,DistinctProducts,TenureDays,AvgOrderValue,PurchaseFreqPerMonth,Churn,ChurnProbability,ChurnRiskTier
100000,17,19,21138.87,6.859154929577465,54,344,1112.572105263158,1.6569767441860466,0,0.13301829,Low
100001,3,5,6329.65,7.157894736842105,17,24,1265.9299999999998,6.25,0,0.08401199,Low
100003,1,84,83264.7,7.90295358649789,106,540,991.2464285714285,4.666666666666667,0,0.02159091,Low
100004,87,9,5141.6,6.7272727272727275,20,279,571.2888888888889,0.9677419354838709,0,0.9132357,High
100005,51,7,8210.47,7.904761904761905,19,181,1172.9242857142856,1.160220994475138,1,0.8110309,High
100006,6,31,29396.51,7.53932584269663,70,400,948.2745161290322,2.3249999999999997,0,0.03461244,Low
100007,4,17,17034.18,7.224137931034483,51,311,1002.0105882352941,1.6398713826366558,0,0.156645,Low
100008,2,4,5810.05,9.272727272727273,11,59,1452.5125,2.0338983050847457,0,0.2566618,Low
100009,6,35,31840.2,7.701030927835052,64,371,909.72,2.830188679245283,0,0.05755554,Low
100010,69,2,1317.85,9.8,5,5,658.925,12.0,0,0.64478105,High
100011,0,61,50983.32,7.919254658385094,91,341,835.792131147541,5.366568914956011,0,0.02251927,Low
100012,3,21,20028.82,7.5,49,165,953.7533333333333,3.8181818181818183,0,0.092155576,Low
100013,148,16,19912.76,8.23076923076923,40,118,1244.5475,4.067796610169491,1,0.97572815,High
100015,76,22,21417.46,7.328125,45,123,973.5209090909091,5.365853658536586,1,0.8980434,High
100017,115,8,7077.0599999999995,6.72,23,71,884.6324999999999,3.380281690140845,1,0.97714907,High
100018,5,22,24465.35,7.59375,47,290,1112.0613636363635,2.2758620689655173,0,0.11978469,Low
100019,1,15,14967.62,8.051282051282051,33,52,997.8413333333334,8.653846153846153,0,0.06318226,Low
100020,6,50,48720.82,7.630434782608695,87,248,974.4164,6.048387096774193,0,0.030026983,Low
100024,33,2,2815.6000000000004,8.571428571428571,7,1,1407.8000000000002,60.0,0,0.2758908,Low
