ds,yhat,yhat_lower,yhat_upper
2025-01-01,297370.4784816374,277426.890589903,316983.6843269153
2025-01-02,293827.5686693173,274886.3719638091,313581.23286557524
2025-01-03,301409.945176712,279788.4709602504,321395.36477839784
2025-01-04,303613.0615513801,282719.9178494864,324000.5360934363
2025-01-05,303545.684667228,284534.16263339564,322679.0301954324
2025-01-06,308023.40897680825,287394.6082862467,327356.416777568
2025-01-07,305317.60985745094,285228.53965637466,323712.7341694017
2025-01-08,302179.3062718743,283422.7637389415,322426.8122837323
2025-01-09,298153.5764398554,278258.632347754,317024.2256582289
2025-01-10,305261.73840220424,285247.8801651224,324888.4243612015
2025-01-11,306940.47284180316,287432.85392485815,327566.1229419912
2025-01-12,306329.6845611229,286316.80154166586,324976.07301375794
2025-01-13,310293.02826639643,289043.3898169303,328607.4884375068
2025-01-14,307065.37617390376,286215.15167167207,326859.8330301708
2025-01-15,303444.259801724,283133.0760676608,324160.42131070676
2025-01-16,298987.19516342535,278404.0138367391,318525.9870091388
2025-01-17,305782.6281133175,285247.213474529,326715.900457124
2025-01-18,307202.7490594015,288383.2898873353,326422.0231490981
2025-01-19,306409.7559292751,286888.80238358513,324863.9999301949
2025-01-20,310303.66109648696,291226.47486759967,330399.00799848814
2025-01-21,307068.629551818,287818.1293872792,326379.84516583325
2025-01-22,303532.43201622996,282726.4026568076,324403.00127830834
2025-01-23,299247.17461892916,279114.165382376,318462.03412687505
2025-01-24,306349.55174196576,285057.0750805479,326300.4077150807
2025-01-25,308127.926631419,287779.7462549586,328304.2037637045
2025-01-26,307747.58372702094,287992.4216962577,327363.12906840804
2025-01-27,312126.40062859235,293146.5893041247,331170.2733707713
2025-01-28,309380.6190234266,288842.1917431322,329418.6710309398
2025-01-29,306352.83252345346,287176.10505025904,327024.73699476814
2025-01-30,302576.5895311911,284106.5776288392,322580.98437501147
