ds,y
2023-01-02,2005.74
2023-01-03,2101.51
2023-01-04,3168.73
2023-01-05,322.53
2023-01-06,7303.83
2023-01-07,3892.78
2023-01-08,3252.94
2023-01-09,1983.75
2023-01-10,6417.74
2023-01-11,6659.17
2023-01-12,8851.22
2023-01-13,7985.99
2023-01-14,11071.55
2023-01-15,16668.94
2023-01-16,21867.42
2023-01-17,5098.76
2023-01-18,11507.65
2023-01-19,16455.34
2023-01-20,16621.93
2023-01-21,10342.91
2023-01-22,17850.14
2023-01-23,15995.03
2023-01-24,21840.54
2023-01-25,16930.989999999998
2023-01-26,20837.04
2023-01-27,11401.22
2023-01-28,29010.82
2023-01-29,12412.86
2023-01-30,23045.71
2023-01-31,21942.36
2023-02-01,20396.28
2023-02-02,11789.97
2023-02-03,25553.62
2023-02-04,26888.45
2023-02-05,24578.41
2023-02-06,34897.88
2023-02-07,29814.79
2023-02-08,31321.42
2023-02-09,20462.72
2023-02-10,24829.29
2023-02-11,35634.79
2023-02-12,25440.28
2023-02-13,29880.64
2023-02-14,27020.14
2023-02-15,33132.99
2023-02-16,28906.49
2023-02-17,26007.59
2023-02-18,37879.67
2023-02-19,33396.15
2023-02-20,36826.03
2023-02-21,40500.81
2023-02-22,33786.55
2023-02-23,31067.11
2023-02-24,44667.79
2023-02-25,36067.55
2023-02-26,29801.8
2023-02-27,55360.79
2023-02-28,30812.71
2023-03-01,36334.34
2023-03-02,36540.04
2023-03-03,47445.13
2023-03-04,52018.96
2023-03-05,37076.62
2023-03-06,51686.63
2023-03-07,40779.7
2023-03-08,49268.81
2023-03-09,51413.74
2023-03-10,46810.06
2023-03-11,35252.55
2023-03-12,37034.93
2023-03-13,46651.34
2023-03-14,44152.38
2023-03-15,45818.38
2023-03-16,38198.6
2023-03-17,39183.89
2023-03-18,56077.38
2023-03-19,36746.47
2023-03-20,46079.23
2023-03-21,50531.27
2023-03-22,51865.55
2023-03-23,57506.16
2023-03-24,64814.49
2023-03-25,51460.32
2023-03-26,44208.18
2023-03-27,62963.11
2023-03-28,59913.36
2023-03-29,51183.31
2023-03-30,66108.5
2023-03-31,72747.46
2023-04-01,59837.25
2023-04-02,49962.84
2023-04-03,69290.11
2023-04-04,56599.58
2023-04-05,69310.97
2023-04-06,64371.88
2023-04-07,76437.55
2023-04-08,90104.73
2023-04-09,68091.33
2023-04-10,58084.5
2023-04-11,70059.02
2023-04-12,76239.3
2023-04-13,77688.49
2023-04-14,61254.33
2023-04-15,77591.55
2023-04-16,71663.59
2023-04-17,54444.98
2023-04-18,72170.51
2023-04-19,59931.3
2023-04-20,71501.81
2023-04-21,71643.69
2023-04-22,93429.74
2023-04-23,71450.41
2023-04-24,64095.73
2023-04-25,76013.55
2023-04-26,70860.45
2023-04-27,76088.98
2023-04-28,67996.56
2023-04-29,62934.87
2023-04-30,86216.34
2023-05-01,78823.57
2023-05-02,81006.53
2023-05-03,92461.25
2023-05-04,81722.99
2023-05-05,100440.43
2023-05-06,94065.53
2023-05-07,82590.87
2023-05-08,89216.51
2023-05-09,78012.98
2023-05-10,86577.63
2023-05-11,90394.66
2023-05-12,79366.63
2023-05-13,108852.05
2023-05-14,78330.89
2023-05-15,85174.45
2023-05-16,70739.8
2023-05-17,90096.45
2023-05-18,75525.89
2023-05-19,118674.04
2023-05-20,100087.09
2023-05-21,102032.69
2023-05-22,53013.56
2023-05-23,100748.72
2023-05-24,105181.13
2023-05-25,77662.31999999999
2023-05-26,96814.36
2023-05-27,99813.86
2023-05-28,109342.01
2023-05-29,80865.14
2023-05-30,108148.97
2023-05-31,93014.82
2023-06-01,96433.95
2023-06-02,87838.44
2023-06-03,74375.21
2023-06-04,112303.78
2023-06-05,112443.46
2023-06-06,96953.51
2023-06-07,120651.37
2023-06-08,102491.35
2023-06-09,106118.06
2023-06-10,106497.03
2023-06-11,100847.23
2023-06-12,110704.1
2023-06-13,121319.76
2023-06-14,97794.89
2023-06-15,96786.42
2023-06-16,93880.23
2023-06-17,113138.96
2023-06-18,103708.69
2023-06-19,98380.56
2023-06-20,110649.68
2023-06-21,96102.32
2023-06-22,120763.03
2023-06-23,105409.15
2023-06-24,108648.04
2023-06-25,105435.99
2023-06-26,101275.87
2023-06-27,109437.96
2023-06-28,96189.51
2023-06-29,115386.7
2023-06-30,105029.84
2023-07-01,121541.02
2023-07-02,111684.18
2023-07-03,92894.0
2023-07-04,104210.29
2023-07-05,111967.98
2023-07-06,115045.82
2023-07-07,126447.2
2023-07-08,119090.23
2023-07-09,130563.41
2023-07-10,128649.82
2023-07-11,141736.75
2023-07-12,89805.83
2023-07-13,124411.55
2023-07-14,135415.63999999998
2023-07-15,157021.33
2023-07-16,113471.46
2023-07-17,110960.17
2023-07-18,141137.71
2023-07-19,121766.36
2023-07-20,120426.93
2023-07-21,118532.53
2023-07-22,124833.97
2023-07-23,142404.42
2023-07-24,150915.84
2023-07-25,120093.64
2023-07-26,150061.95
2023-07-27,153140.23
2023-07-28,125903.17
2023-07-29,130554.55
2023-07-30,137111.33
2023-07-31,125668.86
2023-08-01,131594.86
2023-08-02,127518.69
2023-08-03,136788.78
2023-08-04,132048.21
2023-08-05,122471.25
2023-08-06,144294.0
2023-08-07,146815.07
2023-08-08,147419.91
2023-08-09,171794.67
2023-08-10,138014.18
2023-08-11,130313.14
2023-08-12,131605.3
2023-08-13,158601.4
2023-08-14,146816.04
2023-08-15,154533.9
2023-08-16,149252.38
2023-08-17,142553.05
2023-08-18,157680.74
2023-08-19,150001.84
2023-08-20,164866.55
2023-08-21,158725.2
2023-08-22,155469.41
2023-08-23,123502.54
2023-08-24,157875.88999999998
2023-08-25,148481.68
2023-08-26,171180.35
2023-08-27,175288.15
2023-08-28,148829.47
2023-08-29,152130.92
2023-08-30,151805.1
2023-08-31,132566.14
2023-09-01,160579.16
2023-09-02,166845.11000000002
2023-09-03,134728.51
2023-09-04,162788.99
2023-09-05,159719.87
2023-09-06,159790.92
2023-09-07,131494.34
2023-09-08,149331.25
2023-09-09,193660.37
2023-09-10,171496.2
2023-09-11,157424.9
2023-09-12,149305.43
2023-09-13,146375.71
2023-09-14,141029.13
2023-09-15,187268.66
2023-09-16,166253.27
2023-09-17,153600.21
2023-09-18,156363.15
2023-09-19,160019.21
2023-09-20,160674.44
2023-09-21,168243.99
2023-09-22,178113.63
2023-09-23,182113.5
2023-09-24,179014.29
2023-09-25,166902.16
2023-09-26,195868.19
2023-09-27,170958.44
2023-09-28,170786.63
2023-09-29,183738.85
2023-09-30,166952.97
2023-10-01,173778.58
2023-10-02,170160.79
2023-10-03,171503.23
2023-10-04,182919.55
2023-10-05,159983.59
2023-10-06,154688.23
2023-10-07,167674.14
2023-10-08,174022.4
2023-10-09,154016.0
2023-10-10,175729.06
2023-10-11,177521.55
2023-10-12,184451.36
2023-10-13,150346.48
2023-10-14,201122.07
2023-10-15,177755.06
2023-10-16,176984.71
2023-10-17,191756.15
2023-10-18,142704.18
2023-10-19,192242.25
2023-10-20,172598.95
2023-10-21,206178.0
2023-10-22,189169.24
2023-10-23,204524.8
2023-10-24,169700.17
2023-10-25,185923.26
2023-10-26,181178.82
2023-10-27,199228.94
2023-10-28,186444.79
2023-10-29,178037.45
2023-10-30,206306.15
2023-10-31,208486.79
2023-11-01,223892.77
2023-11-02,177247.61
2023-11-03,189419.8
2023-11-04,218889.16
2023-11-05,186267.67
2023-11-06,173873.52
2023-11-07,172842.47
2023-11-08,173245.38
2023-11-09,178442.92
2023-11-10,194696.93
2023-11-11,195154.28
2023-11-12,193819.56
2023-11-13,182874.23
2023-11-14,176893.72
2023-11-15,198283.68
2023-11-16,186932.51
2023-11-17,208831.74
2023-11-18,188940.41
2023-11-19,176874.2
2023-11-20,224316.55
2023-11-21,193974.45
2023-11-22,207886.38
2023-11-23,173655.13
2023-11-24,217534.86
2023-11-25,216286.79
2023-11-26,185158.66
2023-11-27,212655.48
2023-11-28,217701.33
2023-11-29,199825.89
2023-11-30,223593.5
2023-12-01,169895.43
2023-12-02,208071.6
2023-12-03,183919.17
2023-12-04,195719.62
2023-12-05,182821.07
2023-12-06,190661.68
2023-12-07,200642.82
2023-12-08,207668.76
2023-12-09,212275.76
2023-12-10,217469.84
2023-12-11,196611.67
2023-12-12,208668.2
2023-12-13,196190.44
2023-12-14,179846.14
2023-12-15,201097.65
2023-12-16,235486.54
2023-12-17,197014.7
2023-12-18,208292.54
2023-12-19,215586.47
2023-12-20,221982.58
2023-12-21,195585.42
2023-12-22,252949.23
2023-12-23,200283.01
2023-12-24,216867.65
2023-12-25,221219.88
2023-12-26,199755.29
2023-12-27,198812.34
2023-12-28,209610.92
2023-12-29,194727.46
2023-12-30,220180.58
2023-12-31,233567.0
2024-01-01,271499.02
2024-01-02,197873.57
2024-01-03,214811.02
2024-01-04,228100.0
2024-01-05,210363.13
2024-01-06,232926.32
2024-01-07,211324.54
2024-01-08,209727.92
2024-01-09,208874.23
