InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country,TotalPrice
C620925,10006,BAGS ITEM 6,-9,2023-01-16 11:00:00,22.16,103884,United Kingdom,-199.44
C620925,10105,HOME DECOR ITEM 105,-12,2023-01-16 11:00:00,31.56,103884,United Kingdom,-378.71999999999997
C620925,10024,GIFTS ITEM 24,-2,2023-01-16 11:00:00,80.63,103884,United Kingdom,-161.26
C620925,10005,BAGS ITEM 5,-8,2023-01-16 11:00:00,13.74,103884,United Kingdom,-109.92
C566061,10000,LIGHTING ITEM 0,-7,2023-01-18 15:00:00,69.61,102113,United Kingdom,-487.27
C566061,10077,BAGS ITEM 77,-2,2023-01-18 15:00:00,53.81,102113,United Kingdom,-107.62
C566061,10069,GIFTS ITEM 69,-12,2023-01-18 15:00:00,27.5,102113,United Kingdom,-330.0
C626691,10040,TOYS ITEM 40,-5,2023-01-18 16:00:00,108.38,104068,France,-541.9
C626691,10084,KITCHENWARE ITEM 84,-9,2023-01-18 16:00:00,25.51,104068,France,-229.59
C626691,10022,STATIONERY ITEM 22,-1,2023-01-18 16:00:00,52.19,104068,France,-52.19
C604259,10000,LIGHTING ITEM 0,-9,2023-01-19 12:00:00,69.61,103362,United Kingdom,-626.49
C604259,10057,GIFTS ITEM 57,-9,2023-01-19 12:00:00,9.82,103362,United Kingdom,-88.38
C604259,10030,SEASONAL ITEM 30,-3,2023-01-19 12:00:00,3.75,103362,United Kingdom,-11.25
C604259,10076,SEASONAL ITEM 76,-9,2023-01-19 12:00:00,56.44,103362,United Kingdom,-507.96
C604259,10103,SEASONAL ITEM 103,-3,2023-01-19 12:00:00,10.78,103362,United Kingdom,-32.339999999999996
C656386,10093,HOME DECOR ITEM 93,-11,2023-01-19 16:00:00,80.77,104964,Ireland,-888.4699999999999
C656386,10017,BAGS ITEM 17,-3,2023-01-19 16:00:00,66.17,104964,Ireland,-198.51
C656386,10106,GIFTS ITEM 106,-10,2023-01-19 16:00:00,42.04,104964,Ireland,-420.4
C629243,10089,GIFTS ITEM 89,-13,2023-01-20 11:00:00,103.36,104154,United Kingdom,-1343.68
C639801,10086,LIGHTING ITEM 86,-2,2023-01-26 17:00:00,9.12,104463,Netherlands,-18.24
C639801,10057,GIFTS ITEM 57,-12,2023-01-26 17:00:00,9.82,104463,Netherlands,-117.84
C639801,10040,TOYS ITEM 40,-4,2023-01-26 17:00:00,108.38,104463,Netherlands,-433.52
C639801,10055,LIGHTING ITEM 55,-6,2023-01-26 17:00:00,40.68,104463,Netherlands,-244.07999999999998
C657037,10030,SEASONAL ITEM 30,-5,2023-01-31 08:00:00,3.75,104981,United Kingdom,-18.75
C631833,10102,GIFTS ITEM 102,-14,2023-01-31 08:00:00,47.47,104225,Ireland,-664.5799999999999
C631833,10061,TOYS ITEM 61,-1,2023-01-31 08:00:00,43.8,104225,Ireland,-43.8
C631833,10057,GIFTS ITEM 57,-10,2023-01-31 08:00:00,9.82,104225,Ireland,-98.2
C631833,10046,HOME DECOR ITEM 46,-6,2023-01-31 08:00:00,57.74,104225,Ireland,-346.44
C613175,10045,SEASONAL ITEM 45,-5,2023-01-31 09:00:00,20.64,103634,France,-103.2
C613175,10110,KITCHENWARE ITEM 110,-2,2023-01-31 09:00:00,28.61,103634,France,-57.22
C630840,10012,LIGHTING ITEM 12,-2,2023-01-31 19:00:00,47.86,104199,Ireland,-95.72
C630840,10057,GIFTS ITEM 57,-7,2023-01-31 19:00:00,9.82,104199,Ireland,-68.74000000000001
C592257,10032,SEASONAL ITEM 32,-14,2023-02-01 09:00:00,28.31,102961,Spain,-396.34
C592257,10035,BAGS ITEM 35,-5,2023-02-01 09:00:00,55.33,102961,Spain,-276.65
C592257,10035,BAGS ITEM 35,-2,2023-02-01 09:00:00,55.33,102961,Spain,-110.66
C592257,10072,GIFTS ITEM 72,-12,2023-02-01 09:00:00,23.2,102961,Spain,-278.4
C540387,10088,GIFTS ITEM 88,-13,2023-02-02 17:00:00,38.28,101292,United Kingdom,-497.64
C540387,10042,BAGS ITEM 42,-7,2023-02-02 17:00:00,0.0,101292,United Kingdom,-0.0
C592259,10108,SEASONAL ITEM 108,-6,2023-02-05 19:00:00,32.43,102961,Spain,-194.57999999999998
C592259,10033,LIGHTING ITEM 33,-8,2023-02-05 19:00:00,52.34,102961,Spain,-418.72
C592259,10073,STATIONERY ITEM 73,-11,2023-02-05 19:00:00,19.32,102961,Spain,-212.52
C617180,10076,SEASONAL ITEM 76,-11,2023-02-08 15:00:00,56.44,103762,United Kingdom,-620.8399999999999
C617180,10100,GIFTS ITEM 100,-3,2023-02-08 15:00:00,21.8,103762,United Kingdom,-65.4
C639808,10036,GIFTS ITEM 36,-14,2023-02-10 11:00:00,4.15,104463,Netherlands,-58.10000000000001
C639808,10040,TOYS ITEM 40,-8,2023-02-10 11:00:00,108.38,104463,Netherlands,-867.04
C639808,10023,STATIONERY ITEM 23,-11,2023-02-10 11:00:00,12.4,104463,Netherlands,-136.4
C556440,10080,SEASONAL ITEM 80,-13,2023-02-10 17:00:00,42.73,101804,United Kingdom,-555.49
