CustomerID,Recency,Frequency,Monetary,AvgOrderValue,TenureDays,PurchaseFreqPerMonth
100000,103,24,26994.9,1124.7875000000001,444,1.6216216216216215
100001,6,29,26606.02,917.4489655172414,206,4.223300970873787
100002,43,2,1475.26,737.63,18,3.3333333333333335
100003,13,114,118761.52,1041.7677192982455,713,4.796633941093969
100004,44,17,14329.41,842.9064705882353,507,1.0059171597633136
100005,236,7,8210.47,1172.9242857142856,181,1.160220994475138
100006,38,41,38858.23,947.7617073170733,554,2.220216606498195
100007,6,25,22937.77,917.5108,494,1.5182186234817816
100008,8,23,27279.37,1186.0595652173913,238,2.899159663865546
100009,8,50,49943.7,998.8739999999999,554,2.7075812274368234
100010,55,10,8222.57,822.257,204,1.4705882352941178
100011,1,86,72151.66,838.9727906976744,525,4.914285714285715
100012,15,36,32519.03,903.3063888888888,338,3.195266272189349
100013,333,16,19912.76,1244.5475,118,4.067796610169491
100015,260,22,21417.46,973.5209090909091,123,5.365853658536586
100016,9,11,5298.13,481.64818181818185,127,2.5984251968503935
100017,300,8,7077.0599999999995,884.6324999999999,71,3.380281690140845
100018,3,39,37919.57,972.2966666666666,476,2.4579831932773106
100019,5,58,60896.18,1049.9341379310345,232,7.5
100020,3,89,90485.43,1016.690224719101,437,6.109839816933639
100021,135,5,6088.11,1217.6219999999998,40,3.75
100022,34,10,9857.53,985.753,101,2.9702970297029703
100023,69,3,2416.0,805.3333333333334,6,15.0
100024,6,31,28949.170000000002,933.8441935483871,212,4.386792452830189
100025,153,8,6747.14,843.3925,129,1.8604651162790697
100026,268,9,8591.52,954.6133333333333,126,2.142857142857143
100027,421,30,25868.63,862.2876666666667,136,6.61764705882353
100028,191,6,8603.77,1433.9616666666668,74,2.4324324324324325
100029,5,58,56379.96,972.068275862069,337,5.163204747774481
100030,174,7,5672.9,810.4142857142857,94,2.2340425531914896
100031,30,71,71131.94,1001.8583098591549,406,5.246305418719212
100032,13,59,54448.77,922.8605084745762,563,3.143872113676732
100033,4,25,26472.13,1058.8852,520,1.4423076923076925
100034,32,17,18534.670000000002,1090.2747058823531,191,2.6701570680628275
100035,3,24,25089.88,1045.4116666666666,480,1.5
100036,86,11,11302.13,1027.4663636363637,87,3.793103448275862
100037,3,97,86959.49,896.489587628866,574,5.069686411149826
100038,18,27,32791.05,1214.4833333333333,417,1.9424460431654675
100039,231,11,9967.34,906.1218181818182,138,2.3913043478260874
100040,112,12,11547.44,962.2866666666667,112,3.2142857142857144
100041,3,93,82404.94,886.074623655914,681,4.096916299559472
100042,324,2,1297.6200000000001,648.8100000000001,56,1.0714285714285714
100043,3,61,48349.87,792.6208196721312,364,5.027472527472527
100044,32,27,27493.67,1018.284074074074,521,1.5547024952015354
100045,1,55,58853.37,1070.0612727272728,449,3.6748329621380846
100046,21,7,6425.85,917.9785714285715,133,1.5789473684210527
100047,4,133,134848.01,1013.8948120300753,719,5.549374130737135
100048,10,9,7513.17,834.7966666666666,46,5.869565217391304
100049,6,58,60154.68,1037.1496551724138,508,3.425196850393701
100050,239,25,23038.78,921.5512,191,3.9267015706806285
100051,1,17,12393.35,729.0205882352941,74,6.891891891891891
100052,3,60,59375.72,989.5953333333333,474,3.7974683544303796
100053,174,15,14257.33,950.4886666666666,165,2.727272727272727
100054,348,16,10204.4,637.775,199,2.4120603015075375
100055,408,34,29501.52,867.6917647058824,258,3.9534883720930236
100056,526,7,7883.84,1126.2628571428572,48,4.375
100057,10,39,37663.73,965.7366666666668,326,3.5889570552147236
100058,34,69,66651.16,965.9588405797102,649,3.189522342064715
100059,3,28,26443.329999999998,944.4046428571428,254,3.3070866141732282
100060,1,59,54480.37,923.3961016949153,466,3.7982832618025753
100061,485,5,4214.38,842.876,131,1.1450381679389314
100062,45,10,8115.89,811.589,30,10.0
100063,2,68,62702.13,922.0901470588235,456,4.473684210526316
100064,159,4,5810.72,1452.68,18,6.666666666666667
100065,9,50,47664.61,953.2922,578,2.595155709342561
100066,14,11,12853.3,1168.4818181818182,63,5.238095238095238
100067,1,49,45267.68,923.8302040816327,366,4.016393442622951
100068,12,16,13811.98,863.24875,137,3.5036496350364965
100069,31,12,9812.69,817.7241666666667,143,2.5174825174825175
100070,112,3,2383.23,794.41,14,6.428571428571429
100071,428,3,1601.4299999999998,533.81,108,0.8333333333333333
100072,33,43,42642.19,991.6788372093024,480,2.6875
100073,6,101,89445.7,885.6009900990099,616,4.9188311688311686
100074,4,8,4005.75,500.71875,86,2.7906976744186047
100075,30,30,24468.11,815.6036666666666,548,1.6423357664233578
100076,207,41,38346.25,935.2743902439024,315,3.9047619047619047
100077,3,16,16635.06,1039.69125,288,1.6666666666666667
100078,3,71,63649.4,896.4704225352112,349,6.103151862464184
100079,10,68,69107.99,1016.2939705882354,670,3.0447761194029854
100080,136,29,23811.61,821.09,242,3.59504132231405
100081,212,6,7079.87,1179.9783333333332,166,1.0843373493975903
100082,13,23,19930.11,866.5265217391304,468,1.4743589743589745
100083,4,25,21894.65,875.7860000000001,184,4.076086956521739
100084,420,30,35419.04,1180.6346666666666,220,4.090909090909091
100085,7,28,29660.61,1059.3075000000001,209,4.019138755980861
100086,14,53,44168.32,833.3645283018868,346,4.595375722543353
100087,229,9,7568.37,840.93,53,5.09433962264151
100088,1,49,45074.23,919.8822448979593,254,5.787401574803149
100089,472,5,2828.14,565.6279999999999,215,0.6976744186046512
100090,302,7,8209.4,1172.7714285714285,47,4.468085106382979
100091,329,4,3549.51,887.3775,89,1.348314606741573
100092,10,52,48372.799999999996,930.2461538461538,275,5.672727272727273
100093,7,47,50252.46,1069.2012765957447,551,2.558983666061706
100094,5,80,67541.24,844.2655000000001,435,5.517241379310345
100095,187,21,18474.21,879.7242857142857,193,3.2642487046632125
100096,4,103,85524.0,830.3300970873786,605,5.107438016528925
100097,329,15,10544.19,702.946,291,1.5463917525773196
100098,113,2,1505.83,752.915,7,8.571428571428571
100099,9,59,47518.62,805.4003389830509,621,2.85024154589372
100100,463,8,5112.44,639.055,172,1.3953488372093024
100101,11,11,12335.6,1121.418181818182,76,4.342105263157895
100102,19,5,5619.86,1123.972,139,1.079136690647482
100103,20,6,6771.63,1128.605,116,1.5517241379310345
100104,442,6,5058.9800000000005,843.1633333333334,184,0.9782608695652173
100105,345,10,10456.74,1045.674,299,1.0033444816053512
100106,522,5,4733.24,946.6479999999999,117,1.2820512820512822
100107,135,4,5151.56,1287.89,40,3.0
100108,194,25,22937.14,917.4856,259,2.8957528957528957
100109,2,135,126009.48,933.4035555555555,678,5.973451327433628
100110,7,29,28975.95,999.1706896551724,146,5.958904109589041
100111,1,42,39423.979999999996,938.6661904761904,501,2.51497005988024
100112,430,20,19540.52,977.0260000000001,203,2.955665024630542
100114,67,3,2379.27,793.09,34,2.6470588235294117
100115,21,13,15413.6,1185.6615384615384,77,5.064935064935065
100116,88,11,9702.88,882.0799999999999,118,2.7966101694915255
100117,11,78,80657.20999999999,1034.0667948717949,405,5.777777777777778
100118,30,23,20896.97,908.5639130434784,243,2.8395061728395063
100119,118,16,12775.76,798.485,137,3.5036496350364965
100120,42,21,18625.42,886.9247619047618,385,1.6363636363636362
100121,1,60,61425.78,1023.763,459,3.9215686274509802
100122,437,4,4595.04,1148.76,97,1.2371134020618557
100123,129,4,3176.61,794.1525,33,3.6363636363636362
100124,3,35,40520.69,1157.7340000000002,249,4.216867469879518
100125,5,90,80911.81,899.0201111111111,514,5.252918287937743
100126,10,63,54630.74,867.1546031746032,690,2.739130434782609
100127,28,33,29910.1,906.3666666666667,548,1.8065693430656935
100128,10,31,30225.91,975.0293548387097,271,3.4317343173431736
100129,6,61,57864.64,948.6006557377049,621,2.9468599033816427
100130,174,12,10743.72,895.31,123,2.9268292682926833
100131,7,44,43460.29,987.7338636363637,302,4.370860927152318
100132,104,6,6739.69,1123.2816666666665,33,5.454545454545454
100133,20,10,11240.76,1124.076,337,0.8902077151335313
100134,8,68,66262.83,974.4533823529412,456,4.473684210526316
100135,85,3,2280.35,760.1166666666667,40,2.25
100136,4,63,50787.94,806.1577777777778,301,6.279069767441861
100137,398,6,5650.27,941.7116666666667,211,0.8530805687203792
100138,10,32,31121.45,972.5453125,297,3.2323232323232323
100139,3,17,16860.079999999998,991.7694117647058,185,2.7567567567567566
100140,2,45,37587.01,835.266888888889,382,3.5340314136125657
100141,50,5,5471.03,1094.206,30,5.0
100142,45,6,5266.35,877.725,97,1.8556701030927836
100143,6,6,4520.77,753.4616666666667,209,0.8612440191387559
100144,12,21,18319.22,872.3438095238096,148,4.256756756756756
100145,469,10,11190.22,1119.022,172,1.744186046511628
100146,1,52,42473.34,816.795,360,4.333333333333333
100147,448,10,6636.03,663.603,165,1.8181818181818181
100148,44,2,557.89,278.945,25,2.4
100149,3,107,92150.0,861.2149532710281,668,4.8053892215568865
100150,174,15,13037.52,869.168,152,2.960526315789474
100151,229,21,24087.53,1147.0252380952381,264,2.3863636363636362
100152,504,5,4339.639999999999,867.9279999999999,125,1.2
100153,110,6,4716.98,786.1633333333333,95,1.8947368421052633
100154,129,3,3378.99,1126.33,56,1.6071428571428572
100155,7,46,44526.75,967.9728260869565,604,2.2847682119205297
100156,477,28,23547.64,840.9871428571429,237,3.5443037974683542
100157,324,11,9862.550000000001,896.5954545454547,87,3.793103448275862
100158,308,34,32744.05,963.060294117647,377,2.7055702917771884
100159,8,70,63722.1,910.3157142857143,675,3.111111111111111
100160,215,25,18138.43,725.5372,224,3.3482142857142856
100161,114,20,18248.45,912.4225,156,3.846153846153846
100162,3,62,51832.64,836.0103225806452,566,3.2862190812720846
