Date,Revenue,Orders,UnitsSold,Revenue_lag1,Revenue_lag7,Revenue_lag14,Revenue_lag30,Revenue_roll7_mean,Revenue_roll7_std,Revenue_roll14_mean,Revenue_roll14_std,Revenue_roll30_mean,Revenue_roll30_std,DayOfWeek,IsWeekend,Month,Revenue_diff1
2023-01-02,2005.74,3,56,,,,,,,,,,,0,0,1,
2023-01-03,2101.51,2,51,2005.74,,,,,,,,,,1,0,1,95.77000000000021
2023-01-04,3168.73,3,74,2101.51,,,,,,,,,,2,0,1,1067.2199999999998
2023-01-05,322.53,2,6,3168.73,,,,,,,,,,3,0,1,-2846.2
2023-01-06,7303.83,5,167,322.53,,,,,,,,,,4,0,1,6981.3
2023-01-07,3892.78,4,99,7303.83,,,,,,,,,,5,1,1,-3411.0499999999997
2023-01-08,3252.94,6,84,3892.78,,,,3149.7228571428573,2168.725491494288,,,,,6,1,1,-639.8400000000001
2023-01-09,1983.75,2,65,3252.94,2005.74,,,3146.5814285714287,2170.6737967309336,,,,,0,0,1,-1269.19
2023-01-10,6417.74,9,188,1983.75,2101.51,,,3763.1857142857143,2422.734219271394,,,,,1,0,1,4433.99
2023-01-11,6659.17,7,144,6417.74,3168.73,,,4261.820000000001,2630.295956541773,,,,,2,0,1,241.4300000000003
2023-01-12,8851.22,8,198,6659.17,322.53,,,5480.204285714286,2471.979830559958,,,,,3,0,1,2192.0499999999993
2023-01-13,7985.99,7,145,8851.22,7303.83,,,5577.655714285714,2567.45592398946,,,,,4,0,1,-865.2299999999996
2023-01-14,11071.55,11,268,7985.99,3892.78,,,6603.194285714286,3149.945561682282,,,,,5,1,1,3085.5599999999995
2023-01-15,16668.94,15,339,11071.55,3252.94,,,8519.765714285713,4544.506811697162,5834.744285714286,4412.100803651274,,,6,1,1,5597.389999999999
2023-01-16,21867.42,16,446,16668.94,1983.75,2005.74,,11360.29,5814.859971928245,7253.435714285713,5995.344713813973,,,0,0,1,5198.48
2023-01-17,5098.76,7,125,21867.42,6417.74,2101.51,,11171.864285714284,6019.482351063248,7467.525000000001,5848.94906302077,,,1,0,1,-16768.659999999996
2023-01-18,11507.65,12,285,5098.76,6659.17,3168.73,,11864.504285714283,5683.237014691708,8063.162142857143,5801.9139277406075,,,2,0,1,6408.889999999999
2023-01-19,16455.34,17,362,11507.65,8851.22,322.53,,12950.807142857142,5737.749426356746,9215.505714285717,5748.105984021993,,,3,0,1,4947.6900000000005
2023-01-20,16621.93,19,345,16455.34,7985.99,7303.83,,14184.512857142856,5411.47139759516,9881.084285714283,6041.701748445121,,,4,0,1,166.59000000000015
2023-01-21,10342.91,10,245,16621.93,11071.55,3892.78,,14080.421428571428,5487.799584919957,10341.807857142858,5790.641309411617,,,5,1,1,-6279.02
2023-01-22,17850.14,18,336,10342.91,16668.94,3252.94,,14249.164285714289,5597.718230907001,11384.465,5729.901175756403,,,6,1,1,7507.23
2023-01-23,15995.03,16,335,17850.14,21867.42,1983.75,,13410.251428571428,4620.434680970429,12385.270714285714,5156.581122221707,,,0,0,1,-1855.1099999999988
2023-01-24,21840.54,21,444,15995.03,5098.76,6417.74,,15801.934285714287,3873.808359848047,13486.899285714288,5424.125400033082,,,1,0,1,5845.51
2023-01-25,16930.989999999998,14,347,21840.54,11507.65,6659.17,,16576.697142857145,3383.0566587713533,14220.600714285714,5115.453188886008,,,2,0,1,-4909.550000000003
2023-01-26,20837.04,24,496,16930.989999999998,16455.34,8851.22,,17202.654285714285,3743.070740941893,15076.730714285712,5150.562304999719,,,3,0,1,3906.050000000003
2023-01-27,11401.22,16,282,20837.04,16621.93,7985.99,,16456.838571428572,4349.122190126149,15320.675714285717,4861.666725921679,,,4,0,1,-9435.820000000002
2023-01-28,29010.82,26,640,11401.22,10342.91,11071.55,,19123.682857142856,5536.652131787209,16602.05214285714,5907.254126562299,,,5,1,1,17609.6
2023-01-29,12412.86,14,311,29010.82,17850.14,16668.94,,18346.928571428572,6098.04480194111,16298.046428571428,6012.131653768075,,,6,1,1,-16597.96
2023-01-30,23045.71,25,497,12412.86,15995.03,21867.42,,19354.16857142857,6225.783692822481,16382.21,6103.645341355123,,,0,0,1,10632.849999999999
2023-01-31,21942.36,30,516,23045.71,21840.54,5098.76,,19368.714285714286,6232.676076993623,17585.324285714283,5317.912923656755,11828.238,7731.940000100969,1,0,1,-1103.3499999999985
2023-02-01,20396.28,23,421,21942.36,16930.989999999998,11507.65,2005.74,19863.755714285715,6143.769689373287,18220.226428571423,5060.879440884076,12441.256,7654.973892371344,2,0,2,-1546.0800000000017
2023-02-02,11789.97,15,279,20396.28,20837.04,16455.34,2101.51,18571.31714285714,6819.352207863332,17886.985714285714,5332.348246586344,12764.204666666668,7403.971637746182,3,0,2,-8606.31
2023-02-03,25553.62,31,533,11789.97,11401.22,16621.93,3168.73,20593.088571428572,6425.86867531654,18524.963571428572,5691.55843576946,13510.367666666669,7530.485898543555,4,0,2,13763.65
2023-02-04,26888.45,27,691,25553.62,29010.82,10342.91,322.53,20289.89285714286,5998.3415627313625,19706.78785714286,5578.584533484585,14395.898333333334,7488.076512658979,5,1,2,1334.8300000000017
2023-02-05,24578.41,30,542,26888.45,12412.86,17850.14,7303.83,22027.82857142857,5017.990930015154,20187.37857142857,5694.936260304954,14971.717666666666,7587.436256351081,6,1,2,-2310.040000000001
2023-02-06,34897.88,30,777,24578.41,23045.71,15995.03,3892.78,23720.995714285713,7019.209763192386,21537.582142857143,6764.842696855754,16005.221,8119.307959922297,0,0,2,10319.469999999998
2023-02-07,29814.79,40,699,34897.88,21942.36,21840.54,3252.94,24845.62857142857,7311.327108752626,22107.171428571422,7118.764998537153,16890.615999999998,8128.99766221311,1,0,2,-5083.0899999999965
2023-02-08,31321.42,37,734,29814.79,20396.28,16930.989999999998,1983.75,26406.362857142853,7369.090354188268,23135.059285714284,7349.078281587379,17868.538333333334,8038.01522555039,2,0,2,1506.6299999999974
2023-02-09,20462.72,22,405,31321.42,11789.97,20837.04,6417.74,27645.32714285714,4774.3006231130075,23108.322142857145,7358.756516134804,18336.704333333335,7752.006610441509,3,0,2,-10858.699999999997
2023-02-10,24829.29,29,539,20462.72,25553.62,11401.22,6659.17,27541.851428571423,4834.658803774512,24067.47,6545.655354418731,18942.375,7514.350271315477,4,0,2,4366.57
2023-02-11,35634.79,34,809,24829.29,26888.45,29010.82,8851.22,28791.328571428578,5691.86442614788,24540.61071428571,7142.639918704324,19835.160666666667,7857.330559026605,5,1,2,10805.5
2023-02-12,25440.28,27,586,35634.79,24578.41,12412.86,7985.99,28914.45285714286,5594.024347228978,25471.140714285713,6231.6168257010795,20416.970333333335,7591.39963585585,6,1,2,-10194.510000000002
2023-02-13,29880.64,30,643,25440.28,34897.88,23045.71,11071.55,28197.704285714284,4988.230614873577,25959.35,6294.403624945169,21043.94,7569.636573912731,0,0,2,4440.360000000001
2023-02-14,27020.14,28,613,29880.64,29814.79,21942.36,16668.94,27798.46857142857,4948.916301469216,26322.04857142857,6190.570274031358,21388.98,7599.195287171237,1,0,2,-2860.5
2023-02-15,33132.99,34,735,27020.14,31321.42,20396.28,21867.42,28057.26428571429,5204.609189705027,27231.81357142857,6188.623937631411,21764.499,7896.19666594265,2,0,2,6112.8499999999985
2023-02-16,28906.49,31,660,33132.99,20462.72,11789.97,5098.76,29263.51714285714,3987.198277486412,28454.42214285714,4308.4448856905765,22558.09,7340.28870662033,3,0,2,-4226.499999999996
2023-02-17,26007.59,25,546,28906.49,24829.29,25553.62,11507.65,29431.84571428571,3788.730004310421,28486.84857142857,4286.586226169046,23041.421333333335,7059.583511507597,4,0,2,-2898.9000000000015
2023-02-18,37879.67,36,838,26007.59,35634.79,26888.45,16455.34,29752.542857142857,4440.2729086912295,29271.93571428571,4929.610922831846,23755.565666666665,7443.559941832935,5,1,2,11872.079999999998
2023-02-19,33396.15,33,764,37879.67,25440.28,24578.41,16621.93,30889.09571428571,4162.01346115019,29901.774285714284,4846.410544338177,24314.706333333335,7518.858849429989,6,1,2,-4483.519999999997
2023-02-20,36826.03,38,759,33396.15,29880.64,34897.88,10342.91,31881.294285714284,4677.4839400040055,30039.49928571429,5023.4735727175375,25197.477000000003,7375.18560642195,0,0,2,3429.8799999999974
2023-02-21,40500.81,33,859,36826.03,27020.14,29814.79,17850.14,33807.10428571428,5098.646178489812,30802.786428571428,5746.508997032746,25952.499333333333,7747.11158042787,1,0,2,3674.779999999999
2023-02-22,33786.55,36,806,40500.81,33132.99,31321.42,15995.03,33900.47,5090.221498664559,30978.86714285714,5801.130897083656,26545.55,7638.794540382173,2,0,2,-6714.259999999995
2023-02-23,31067.11,36,641,33786.55,28906.49,20462.72,21840.54,34209.13,4793.803728300406,31736.323571428573,4952.673160109659,26853.102333333336,7628.562506329565,3,0,2,-2719.4400000000023
2023-02-24,44667.79,47,1012,31067.11,26007.59,24829.29,16930.989999999998,36874.87285714286,4659.369429331698,33153.35928571429,5617.8320265430675,27777.662333333337,8053.537366241382,4,0,2,13600.68
2023-02-25,36067.55,40,754,44667.79,37879.67,35634.79,20837.04,36615.99857142857,4644.555638965682,33184.27071428571,5633.704265192928,28285.346,8080.931529530668,5,1,2,-8600.239999999998
2023-02-26,29801.8,37,742,36067.55,33396.15,25440.28,11401.22,36102.52,5222.5734101335165,33495.807857142856,5282.154638972416,28898.69866666667,7427.07547749298,6,1,2,-6265.750000000004
